"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2023-09-30","95.2","-1.92","5.73","Springer, George",543807,542888,,"called_strike",,,,,9,"George Springer grounds out, second baseman Curtis Mead to first baseman Isaac Paredes.","R","R","R","TOR","TB","S",,,2,0,2023,"-1.14","0.87","0.65","2.11",,,,0,1,"Bot",,,,,542194,,,9.309381989203883,-138.29783574587736,-5.797636959875209,-16.63087676106287,30.19661205315529,-19.90602788810595,"3.59","1.61",,,,"95.6",2363,"6.6",716383,542888,542194,670623,678554,691406,670764,668227,622534,666139,"53.95",,,,,,,,7,3,"Sinker",0,1,0,1,1,0,0,1,"Standard","Standard",212,"0","-0.058"
"FC","2023-09-30","92.2","-1.67","5.91","Springer, George",543807,542888,,"ball",,,,,14,"George Springer grounds out, second baseman Curtis Mead to first baseman Isaac Paredes.","R","R","R","TOR","TB","B",,,1,0,2023,"0.41","1.16","1.77","2.27",,,,0,1,"Bot",,,,,542194,,,7.852550210465253,-134.08280715222057,-5.987182753815798,3.4481962665142207,25.732191130468525,-17.09911579556721,"3.57","1.61",,,,"92.7",2585,"6.4",716383,542888,542194,670623,678554,691406,670764,668227,622534,666139,"54.12",,,,,,,,7,2,"Cutter",0,1,0,1,1,0,0,1,"Standard","Standard",178,"0","0.064"
"FC","2023-09-30","88.8","-0.85","6.23","Springer, George",543807,596112,,"ball",,,,,14,"George Springer strikes out swinging.","R","R","R","TOR","TB","B",,,0,1,2023,"0.03","0.01","0.83","0.99",,,,0,7,"Bot",,,,,542194,,,4.026189610368957,-129.19228261010292,-6.753499320188729,-0.5169565231016534,26.4756896016093,-30.913895068215524,"3.66","1.67",,,,"88.3",2721,"5.9",716383,596112,542194,670623,678554,691406,670764,668227,622534,666139,"54.57",,,,,,,,60,2,"Cutter",4,4,4,4,4,4,4,4,"Standard","Standard",221,"0","0.028"
"FC","2023-09-30","88.6","-0.97","6.2","Springer, George",543807,596112,,"swinging_strike",,,,,14,"George Springer strikes out swinging.","R","R","R","TOR","TB","S",,,0,0,2023,"-0.21","0.18","1.24","1.61",,,,0,7,"Bot",,,,,542194,,,5.801190778880424,-128.9266015091077,-5.535117398034538,-3.473931825606719,26.10701263372498,-29.196979998823757,"3.65","1.67",,,,"88.1",2824,"5.9",716383,596112,542194,670623,678554,691406,670764,668227,622534,666139,"54.57",,,,,,,,60,1,"Cutter",4,4,4,4,4,4,4,4,"Standard","Standard",205,"0","-0.038"
"SI","2023-09-30","95.5","-1.82","5.73","Springer, George",543807,542888,,"ball",,,,,14,"George Springer grounds out, second baseman Curtis Mead to first baseman Isaac Paredes.","R","R","R","TOR","TB","B",,,0,0,2023,"-1.31","0.64","0.82","0.99",,,,0,1,"Bot",,,,,542194,,,9.944222297309926,-138.61946195547517,-8.312997254514404,-19.083313611659594,30.55335682802609,-22.240996882660955,"3.52","1.64",,,,"95.8",2282,"6.6",716383,542888,542194,670623,678554,691406,670764,668227,622534,666139,"53.94",,,,,,,,7,1,"Sinker",0,1,0,1,1,0,0,1,"Standard","Standard",212,"0","0.036"
"FC","2023-09-29","89.8","-2.74","5.42","Springer, George",543807,541640,"strikeout","swinging_strike",,,,,14,"George Springer strikes out swinging.","R","R","R","TOR","TB","S",2,,1,2,2023,"0.18","1","0.91","1.47",,,,1,5,"Bot",,,,,650907,,,8.637096552957859,-130.45357473624432,-5.844793815689933,0.1496130037323706,29.17459944361696,-19.70336585685197,"3.64","1.67",,,,"89.6",2370,"6.4",716392,541640,650907,670623,678554,678545,691406,668227,622534,623912,"54.1",,0,"0",1,0,0,,45,4,"Cutter",8,0,8,0,0,8,8,0,"Standard","Standard",207,"0","-0.119"
"SL","2023-09-29","83","-2.97","5.41","Springer, George",543807,541640,,"ball",,,,,14,"George Springer strikes out swinging.","R","R","R","TOR","TB","B",,,0,2,2023,"0.38","0.44","0.49","1.18",,,,1,5,"Bot",,,,,650907,,,7.203186344170804,-120.56626399119688,-3.980224976042695,2.0980140907398805,26.565252291284548,-27.283227121904236,"3.59","1.59",,,,"82.8",2359,"6.5",716392,541640,650907,670623,678554,678545,691406,668227,622534,623912,"53.97",,,,,,,,45,3,"Slider",8,0,8,0,0,8,8,0,"Standard","Standard",121,"0","0.012"
"FF","2023-09-29","93.7","-0.49","6.25","Springer, George",543807,641793,"field_out","hit_into_play",,,,,2,"George Springer pops out to first baseman Isaac Paredes in foul territory.","R","R","R","TOR","TB","X",3,"popup",0,2,2023,"-0.5","1.56","0.1","3.46",672386,656305,,2,3,"Bot",147.84,202.59,,,650907,,,2.6345418931306894,-136.40642615261345,-4.900632400177804,-6.867046907116873,31.973977589376847,-11.884623406515578,"3.64","1.67",36,"72.8",82,"93.4",2157,"6.3",716392,641793,650907,670623,678554,678545,691406,668227,622534,623912,"54.24",0.003,0.003,"0",1,0,0,3,30,4,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",208,"-0.019","-0.36"
"SL","2023-09-29","81.6","-2.91","5.46","Springer, George",543807,541640,,"foul",,,,,9,"George Springer strikes out swinging.","R","R","R","TOR","TB","S",,,0,1,2023,"0.54","0.29","0.73","2.11",,,,1,5,"Bot",,,,,650907,,,7.112164514120989,-118.64563329234034,-1.409691660823306,3.530975832302916,25.79542494795668,-29.406019372539024,"3.64","1.67",2,"58.9",-43,"81",2389,"6.2",716392,541640,650907,670623,678554,678545,691406,668227,622534,623912,"54.29",,,,,,,,45,2,"Slider",8,0,8,0,0,8,8,0,"Infield shade","Standard",98,"0","-0.036"
"FF","2023-09-29","94.1","-0.45","6.15","Springer, George",543807,641793,,"foul",,,,,3,"George Springer pops out to first baseman Isaac Paredes in foul territory.","R","R","R","TOR","TB","S",,,0,2,2023,"-0.43","1.67","0.63","3.26",672386,656305,,2,3,"Bot",,,,,650907,,,3.7578020047176586,-136.86271869163667,-5.434602534438716,-6.224250445714156,32.752483005387894,-10.291316635220358,"3.64","1.67",205,"83",59,"93.9",2106,"6.4",716392,641793,650907,670623,678554,678545,691406,668227,622534,623912,"54.1",,,,,,,,30,3,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",203,"0","0"
